Alias,Localization,IP
basS,IntegralMembraneProtein,1.66
bax,-,2.61
bcp,Cytoplasmic,0.59
bcr,IntegralMembraneProtein,6.87
bcsB,IntegralMembraneProtein,0.91
bcsC,Periplasmic,1.09
bcsE,Cytoplasmic,0.92
bcsF,Membrane-anchored,4.69
bcsG,IntegralMembraneProtein,2.29
bfd,Cytoplasmic,0.74
bfr,Cytoplasmic,0.63
bglA,Cytoplasmic,0.98
bglX,Periplasmic,1.03
bhsA,OutermembraneProtein,0.54
bioA,Cytoplasmic,0.81
bioB,Cytoplasmic,0.79
bioC,Cytoplasmic,0.72
bioD,Cytoplasmic,0.74
bioF,Cytoplasmic,0.85
bioH,Cytoplasmic,1.17
birA,Cytoplasmic,0.90
bisC,Cytoplasmic,1.31
bolA,Cytoplasmic,0.68
borD_0430,Lipoprotein,0.00
borD_3718,Lipoprotein,0.52
brnQ,IntegralMembraneProtein,2.85
btuB,OutermembraneProtein,1.06
btuC,IntegralMembraneProtein,3.39
btuD,Cytoplasmic,0.70
btuE,Cytoplasmic,0.78
btuF,Periplasmic,0.70
btuR,Cytoplasmic,0.70
cadC,Membrane-anchored,3.15
can,Cytoplasmic,0.98
carA,Cytoplasmic,0.65
carB,Cytoplasmic,1.10
cbpA,Cytoplasmic,0.67
cbpM,Cytoplasmic,1.01
cbrB,IntegralMembraneProtein,2.67
cca,Cytoplasmic,0.68
ccmC,IntegralMembraneProtein,5.05
ccmE,IntegralMembraneProtein,2.10
ccmF,IntegralMembraneProtein,2.97
ccmG,IntegralMembraneProtein,5.68
ccmH,IntegralMembraneProtein,0.94
cdd,Cytoplasmic,0.69
cdh,Membrane-anchored,1.76
cdsA,IntegralMembraneProtein,2.46
cedA,Cytoplasmic,0.64
cfa,Cytoplasmic,0.83
chaA,IntegralMembraneProtein,4.22
chbF,Cytoplasmic,0.97
chiA,Periplasmic,0.83
cho,Cytoplasmic,0.75
chpA,Cytoplasmic,0.72
chpR,Cytoplasmic,0.69
cirA,OutermembraneProtein,0.94
clcA,IntegralMembraneProtein,3.60
cld,IntegralMembraneProtein,3.62
clpA,Cytoplasmic,0.73
clpB,Cytoplasmic,0.69
clpP,Cytoplasmic,0.93
clpS,Cytoplasmic,0.60
clpX,Cytoplasmic,0.68
cls,IntegralMembraneProtein,2.48
cmk,Cytoplasmic,0.78
cmoA,Cytoplasmic,0.71
cmoB,Cytoplasmic,0.77
cmr,IntegralMembraneProtein,2.36
coaA,Cytoplasmic,0.67
coaD,Cytoplasmic,0.55
coaE,Cytoplasmic,0.70
cobB,Cytoplasmic,0.75
cobC,Cytoplasmic,0.89
cobS,IntegralMembraneProtein,3.17
cobT,Cytoplasmic,0.85
copA,IntegralMembraneProtein,0.85
corA,IntegralMembraneProtein,1.86
cpdA,Cytoplasmic,0.89
cpdB,Periplasmic,0.79
cpxA,IntegralMembraneProtein,9.17
cpxP,Membraneassociated,0.74
cpxR,Cytoplasmic,1.02
crcB,IntegralMembraneProtein,6.20
creA,Periplasmic,0.63
creB,Cytoplasmic,0.90
creC,IntegralMembraneProtein,1.95
crl,Cytoplasmic,0.61
crp,Cytoplasmic,0.61
crr,Cytoplasmic,0.56
csdA,Cytoplasmic,0.91
csdE,Cytoplasmic,0.63
cspA,Cytoplasmic,0.47
cspB,Cytoplasmic,0.42
cspC,Cytoplasmic,0.48
cspE,Cytoplasmic,0.49
cspG,Cytoplasmic,0.48
csrA,Cytoplasmic,0.50
csrD,IntegralMembraneProtein,2.07
cstA,IntegralMembraneProtein,2.11
cueO,Periplasmic,1.02
cueR,Cytoplasmic,0.80
cusR,Cytoplasmic,1.03
cusS,IntegralMembraneProtein,3.11
cutC,Cytoplasmic,0.71
cvpA,IntegralMembraneProtein,1.42
cvrA,IntegralMembraneProtein,3.42
cyaA,Cytoplasmic,1.35
cyaY,Cytoplasmic,0.61
cybB,IntegralMembraneProtein,10.78
cycA,IntegralMembraneProtein,4.21
cydA,IntegralMembraneProtein,2.47
cydB,IntegralMembraneProtein,6.96
cydC,IntegralMembraneProtein,2.30
cydD,IntegralMembraneProtein,1.26
cyoA,IntegralMembraneProtein,2.95
cyoB,IntegralMembraneProtein,2.18
cyoC,IntegralMembraneProtein,3.31
cyoD,IntegralMembraneProtein,3.48
cyoE,IntegralMembraneProtein,5.10
cysA,Cytoplasmic,0.90
cysB,Cytoplasmic,0.74
cysE,Cytoplasmic,0.69
cysG,Cytoplasmic,0.68
cysI,Cytoplasmic,0.67
cysJ,Cytoplasmic,0.90
cysK,Cytoplasmic,0.59
cysM,Cytoplasmic,0.62
cysN,Cytoplasmic,1.02
cysQ,Membraneassociated,0.63
cysS,Cytoplasmic,1.09
cysZ,IntegralMembraneProtein,4.84
cytR,Cytoplasmic,0.82
dacA,Membrane-anchored,0.73
dacB,Periplasmic,0.92
dacC,Membrane-anchored,0.73
dacD,Membrane-anchored,1.05
dadA,Cytoplasmic,1.21
dadX,Cytoplasmic,1.02
dam,Cytoplasmic,0.69
damX,Membrane-anchored,4.91
dapA,Cytoplasmic,0.80
dapB,Cytoplasmic,0.69
dapD,Cytoplasmic,0.60
dapE,Cytoplasmic,1.07
dapF,Cytoplasmic,0.79
dbpA,Cytoplasmic,0.76
dcd,Cytoplasmic,0.85
dcm,Cytoplasmic,0.67
dcp,Cytoplasmic,0.68
dcrB,Periplasmic,0.74
dctA,IntegralMembraneProtein,1.87
dcuA,IntegralMembraneProtein,6.89
dcuR,Cytoplasmic,0.93
dcuS,IntegralMembraneProtein,1.39
dcyD,Cytoplasmic,0.80
ddl_A,Cytoplasmic,0.65
ddl_B,Cytoplasmic,0.66
deaD,Cytoplasmic,0.78
dedA,IntegralMembraneProtein,7.00
dedD,Membrane-anchored,1.18
def,Cytoplasmic,0.61
degP,Periplasmic,0.54
degQ,Periplasmic,0.73
degS,Membrane-anchored,0.64
deoA,Cytoplasmic,0.76
deoB,Cytoplasmic,0.84
deoC,Cytoplasmic,0.68
deoD,Cytoplasmic,0.58
deoR,Cytoplasmic,0.68
dfp,Cytoplasmic,0.73
dgkA,IntegralMembraneProtein,2.62
dgoR,Cytoplasmic,0.71
dgsA,Cytoplasmic,1.03
dgt,Cytoplasmic,0.85
dhaK,Cytoplasmic,0.75
dhaL,Cytoplasmic,0.59
dhaM,Cytoplasmic,0.97
dhaR,Cytoplasmic,1.27
diaA,Cytoplasmic,0.73
dicA,Cytoplasmic,0.55
dinF,IntegralMembraneProtein,3.35
dinG,Cytoplasmic,0.97
dinI,Cytoplasmic,0.59
dinJ,Cytoplasmic,0.48
dipZ,IntegralMembraneProtein,3.29
djlA,Membrane-anchored,4.30
dkgB,Cytoplasmic,0.62
dksA,Cytoplasmic,0.58
dld,Cytoplasmic,0.67
dmsD,IntegralMembraneProtein,1.18
dnaA,Cytoplasmic,0.71
dnaB,Cytoplasmic,0.63
dnaC,Cytoplasmic,0.64
dnaE,Cytoplasmic,0.93
dnaG,Cytoplasmic,0.98
dnaJ,Cytoplasmic,0.72
dnaK,Cytoplasmic,2.78
dnaN,Cytoplasmic,0.69
dnaQ,Cytoplasmic,0.71
dnaT,Cytoplasmic,0.65
dnaX,Cytoplasmic,1.16
dpiA,Cytoplasmic,0.77
dppA,Periplasmic,0.61
dppB,IntegralMembraneProtein,1.94
dppC,IntegralMembraneProtein,7.31
dppD,Cytoplasmic,0.92
dppF,Cytoplasmic,0.65
dps,Cytoplasmic,0.59
dsbA,Periplasmic,0.65
dsbB,IntegralMembraneProtein,1.86
dsbC,Periplasmic,0.58
dsbG,Periplasmic,0.74
dsdA,Cytoplasmic,0.88
dsdC,Cytoplasmic,0.73
dsdX,IntegralMembraneProtein,3.02
dsrB,Cytoplasmic,0.95
dtd,Cytoplasmic,1.06
dusA,Cytoplasmic,0.78
dusB,Cytoplasmic,0.53
dusC,Cytoplasmic,0.96
dut,Cytoplasmic,0.61
dxr,Cytoplasmic,0.77
dxs,Cytoplasmic,1.02
eamA,IntegralMembraneProtein,8.35
ebgR,Cytoplasmic,0.64
ecnB,Lipoprotein,0.00
eco,Periplasmic,0.63
eda,Cytoplasmic,0.67
edd,Cytoplasmic,0.91
efeB,Periplasmic,0.89
efeO,Periplasmic,0.64
efp,Cytoplasmic,0.53
elaA,Cytoplasmic,0.69
elaB,IntegralMembraneProtein,0.86
elbA,Cytoplasmic,0.81
elbB,Cytoplasmic,0.68
emrA,Membrane-anchored,3.54
emrB,IntegralMembraneProtein,4.16
emrD,IntegralMembraneProtein,8.93
emrE,IntegralMembraneProtein,0.97
emtA,OutermembraneLipoprotein,2.45
endA,Periplasmic,0.71
engA,Cytoplasmic,0.86
engB,Cytoplasmic,0.69
eno,Cytoplasmic,0.54
entA,Cytoplasmic,0.84
entB,Cytoplasmic,0.86
entC,Cytoplasmic,0.72
entE,Cytoplasmic,0.73
entF,Cytoplasmic,1.54
entS,IntegralMembraneProtein,3.00
envC,Periplasmic,0.79
envZ,IntegralMembraneProtein,2.31
epd,Cytoplasmic,0.87
eptA,IntegralMembraneProtein,5.20
eptB,IntegralMembraneProtein,2.82
era,Cytoplasmic,0.63
erfK,Periplasmic,1.08
erpA,Cytoplasmic,0.57
etk,IntegralMembraneProtein,1.00
eutB,Cytoplasmic,0.85
eutC,Cytoplasmic,0.75
eutL,-,0.71
evgA,Cytoplasmic,0.58
evgS,IntegralMembraneProtein,0.80
exbB,IntegralMembraneProtein,3.11
exbD,Membrane-anchored,7.44
exoX,Cytoplasmic,1.12
exuR,Cytoplasmic,0.68
fabA,Cytoplasmic,0.69
fabB,Cytoplasmic,1.07
fabD,Cytoplasmic,0.76
fabF,Cytoplasmic,0.83
fabG,Cytoplasmic,0.55
fabH,Cytoplasmic,0.82
fabI,Cytoplasmic,0.74
fabR,Cytoplasmic,0.63
fabZ,Cytoplasmic,0.54
fadD,Cytoplasmic,0.68
fadE,IntegralMembraneProtein,1.33
fadL,OutermembraneProtein,0.98
fadR,Cytoplasmic,0.57
fbaA,Cytoplasmic,0.58
fbaB,Cytoplasmic,1.07
fbp,Cytoplasmic,0.95
fdhD,Cytoplasmic,0.86
fdhE,Cytoplasmic,0.62
fdoG,-,1.30
fdoH,Membrane-anchored,0.74
fdoI,IntegralMembraneProtein,16.59
fdx,Cytoplasmic,0.52
fecA,OutermembraneProtein,1.08
fecB,Periplasmic,2.59
fecR,IntegralMembraneProtein,0.75
feoA,Cytoplasmic,0.56
feoB,IntegralMembraneProtein,4.35
fepA,OutermembraneProtein,0.81
fepB,Periplasmic,0.72
fepD,IntegralMembraneProtein,3.30
fepG,IntegralMembraneProtein,3.36
fhlA,Cytoplasmic,1.03
fhuA,OutermembraneProtein,0.84
fhuB,IntegralMembraneProtein,4.79
fhuC,Cytoplasmic,0.62
fhuD,Periplasmic,0.70
fhuE,OutermembraneProtein,1.49
fhuF,Cytoplasmic,0.77
fieF,IntegralMembraneProtein,1.52
fis,Cytoplasmic,0.58
fiu,OutermembraneProtein,1.19
fklB,Cytoplasmic,0.62
fkpA,Periplasmic,0.58
fkpB,Cytoplasmic,0.57
fldA,Cytoplasmic,0.68
fldB,Cytoplasmic,0.79
fliY,Periplasmic,0.55
flk,Membrane-anchored,0.60
flu,OutermembraneProtein,0.91
fmt,Cytoplasmic,0.68
fnr,Cytoplasmic,0.89
focA,IntegralMembraneProtein,2.14
folA,Cytoplasmic,0.60
folB,Cytoplasmic,0.85
folC,Cytoplasmic,0.77
folD,Cytoplasmic,0.68
folE,Cytoplasmic,0.89
folK,Cytoplasmic,0.52
folM,Cytoplasmic,0.70
folP,Cytoplasmic,0.65
folX,Cytoplasmic,0.55
fpr,Cytoplasmic,0.95
frcK,-,0.74
frdA,Cytoplasmic,1.20
frdB,Cytoplasmic,0.77
frdC,IntegralMembraneProtein,3.26
frdD,IntegralMembraneProtein,12.30
fre,Cytoplasmic,0.76
frlR,Cytoplasmic,0.63
frmA,Cytoplasmic,0.74
frmB,Cytoplasmic,0.83
frmR,Cytoplasmic,0.75
frr,Cytoplasmic,0.57
frsA,Cytoplasmic,0.85
fruR,Cytoplasmic,0.61
fsr,IntegralMembraneProtein,3.19
ftnA,Cytoplasmic,0.53
ftsA,Cytoplasmic,0.79
ftsB,Membrane-anchored,14.31
ftsE,Cytoplasmic,0.74
ftsI,Membrane-anchored,1.24
ftsK,IntegralMembraneProtein,1.92
ftsL,Membrane-anchored,1.27
ftsN,Membrane-anchored,0.68
ftsP,Periplasmic,0.93
ftsQ,Membrane-anchored,1.57
ftsW,IntegralMembraneProtein,2.27
ftsX,IntegralMembraneProtein,1.60
ftsY,Cytoplasmic,0.70
ftsZ,Cytoplasmic,0.73
fucI,Cytoplasmic,1.25
fumA,Cytoplasmic,0.68
fumB,Cytoplasmic,0.79
fumC,Cytoplasmic,0.63
fur,Cytoplasmic,0.49
fusA,Cytoplasmic,0.83
fxsA,IntegralMembraneProtein,2.37
gabD,Cytoplasmic,0.86
gadW,Cytoplasmic,1.54
gadX,Cytoplasmic,2.17
galE,Cytoplasmic,0.87
galF,Cytoplasmic,0.71
galK,Cytoplasmic,0.78
galM,Cytoplasmic,0.69
galP,IntegralMembraneProtein,3.13
galR,Cytoplasmic,0.69
galT,Cytoplasmic,0.80
galU,Cytoplasmic,0.72
gapA,Cytoplasmic,0.59
gatC,IntegralMembraneProtein,1.52
gatY,Cytoplasmic,0.65
gatZ,Cytoplasmic,0.50
gcd,IntegralMembraneProtein,1.70
gcvA,Cytoplasmic,0.75
gcvH,Cytoplasmic,0.49
gcvP,Cytoplasmic,1.05
gcvR,Cytoplasmic,1.05
gcvT,Cytoplasmic,0.72
gdhA,Cytoplasmic,0.98
ggt,Periplasmic,1.03
ghrA,Cytoplasmic,0.76
ghrB,Cytoplasmic,0.71
gidB,Cytoplasmic,0.55
glcB,Cytoplasmic,0.82
glf,Cytoplasmic,0.72
glgA,Cytoplasmic,1.10
glgB,Cytoplasmic,1.09
glgC,Cytoplasmic,0.90
glgP,Cytoplasmic,1.47
glgX,Cytoplasmic,1.03
glk,Cytoplasmic,0.90
glmM,Cytoplasmic,1.00
glmS,Cytoplasmic,2.94
glmU,Cytoplasmic,0.67
glnA,Cytoplasmic,1.08
glnB,Cytoplasmic,0.52
glnD,Cytoplasmic,1.47
glnE,Cytoplasmic,1.40
glnG,Cytoplasmic,0.72
glnH,Periplasmic,0.71
glnL,Cytoplasmic,0.86
glnP,IntegralMembraneProtein,1.14
glnQ,Cytoplasmic,0.78
glnS,Cytoplasmic,0.98
gloA,Cytoplasmic,0.54
gloB,Cytoplasmic,0.65
glpD,Cytoplasmic,1.10
glpE,Cytoplasmic,0.66
glpG,IntegralMembraneProtein,6.58
glpK,Cytoplasmic,1.17
glpR,Cytoplasmic,0.62
glpX,Cytoplasmic,0.80
gltA,Cytoplasmic,0.90
gltB,Cytoplasmic,1.00
gltD,Cytoplasmic,1.07
gltF,Periplasmic,0.56
gltI,Periplasmic,0.55
gltJ,IntegralMembraneProtein,8.59
gltK,IntegralMembraneProtein,1.04
gltL,Cytoplasmic,0.70
gltP,IntegralMembraneProtein,8.27
gltS,IntegralMembraneProtein,1.57
gltX,Cytoplasmic,0.82
glyA,Cytoplasmic,0.76
glyQ,Cytoplasmic,1.16
glyS,Cytoplasmic,0.65
gmd,Cytoplasmic,1.01
gmhA,Cytoplasmic,0.54
gmhB,Cytoplasmic,0.73
gmk,Cytoplasmic,0.55
gmr,-,0.98
gnd,Cytoplasmic,1.12
gnsA,Cytoplasmic,0.53
gnsB,Cytoplasmic,0.47
gntR,Cytoplasmic,0.76
gntT,IntegralMembraneProtein,1.92
gntU,IntegralMembraneProtein,2.80
gntY,Cytoplasmic,0.60
gor,Cytoplasmic,0.89
gph,Cytoplasmic,0.53
gpmA,Cytoplasmic,0.67
gpmM,Cytoplasmic,0.79
gpp,Cytoplasmic,1.45
gpsA,Cytoplasmic,0.67
gpt,Cytoplasmic,0.60
greA,Cytoplasmic,0.50
groEL,Cytoplasmic,0.67
groES,Cytoplasmic,0.51
grpE,Cytoplasmic,0.58
grxA,Cytoplasmic,0.61
grxB,Cytoplasmic,0.72
grxC,Cytoplasmic,0.61
grxD,Cytoplasmic,0.54
gshA,Cytoplasmic,0.92
gshB,Cytoplasmic,0.61
gsiA,IntegralMembraneProtein,0.95
gsiB,Periplasmic,0.79
gsiC,IntegralMembraneProtein,7.24
gsiD,IntegralMembraneProtein,3.28
gsk,Cytoplasmic,0.83
gsp,Cytoplasmic,1.00
gst,Cytoplasmic,0.70
guaA,Cytoplasmic,1.08
guaB,Cytoplasmic,0.64
guaC,Cytoplasmic,0.70
gudD,Cytoplasmic,0.78
gutQ,Cytoplasmic,0.87
gyrA,Cytoplasmic,0.82
gyrB,Cytoplasmic,0.81
hcaT,IntegralMembraneProtein,4.76
hchA,Cytoplasmic,0.75
hda,IntegralMembraneProtein,0.83
hdeA,Periplasmic,0.59
hdeB,Periplasmic,0.58
hdeD,IntegralMembraneProtein,11.38
hdfR,Cytoplasmic,0.65
hdhA,Cytoplasmic,0.87
helD,Cytoplasmic,1.29
hemA,Cytoplasmic,0.80
hemB,Cytoplasmic,0.76
hemC,Cytoplasmic,0.61
hemD,Cytoplasmic,0.78
hemE,Cytoplasmic,0.99
hemF,Cytoplasmic,0.91
hemG,Cytoplasmic,0.77
hemH,Cytoplasmic,0.67
hemL,Cytoplasmic,0.86
hemN,Cytoplasmic,0.93
hemX,Membrane-anchored,0.79
hemY,IntegralMembraneProtein,5.54
hepA,Cytoplasmic,1.07
hflB,IntegralMembraneProtein,2.91
hflC,Membrane-anchored,6.88
hflD,Cytoplasmic,0.77
hflK,Membrane-anchored,0.66
hflX,Cytoplasmic,0.82
hfq,Cytoplasmic,0.53
hha,Cytoplasmic,0.49
hinT,Cytoplasmic,0.51
hipA,Cytoplasmic,0.85
hisA,Cytoplasmic,0.81
hisB,Cytoplasmic,0.73
hisC,Cytoplasmic,0.88
hisD,Cytoplasmic,0.72
hisF,Cytoplasmic,0.63
hisG,Cytoplasmic,0.64
hisH,Cytoplasmic,0.72
hisI,Cytoplasmic,0.65
hisJ,Periplasmic,0.67
hisL,Cytoplasmic,0.38
hisM,IntegralMembraneProtein,4.76
hisP,Cytoplasmic,0.57
hisQ,IntegralMembraneProtein,4.05
hisS,Cytoplasmic,0.98
hmp,Cytoplasmic,0.54
hns,Cytoplasmic,0.53
holA,Cytoplasmic,0.77
holB,Cytoplasmic,0.93
holC,Cytoplasmic,0.53
holD,Cytoplasmic,0.75
holE,Cytoplasmic,0.53
hpf,Cytoplasmic,0.51
hpt,Cytoplasmic,0.56
hrpA,Cytoplasmic,0.85
hrpB,Cytoplasmic,1.16
hscA,Cytoplasmic,0.75
hscB,Cytoplasmic,0.64
hsdM,Cytoplasmic,0.75
hsdR,Cytoplasmic,0.82
hsdS,Cytoplasmic,0.69
hslJ,OutermembraneProtein,0.57
hslO,Cytoplasmic,0.69
hslR,Cytoplasmic,0.76
hslU,Cytoplasmic,0.63
hslV,Cytoplasmic,0.65
hspQ,Cytoplasmic,0.92
htpG,Cytoplasmic,0.78
htpX,IntegralMembraneProtein,4.54
htrG,IntegralMembraneProtein,0.70
htrL,Cytoplasmic,0.74
hupA,Cytoplasmic,0.52
hupB,Cytoplasmic,0.64
hybB,IntegralMembraneProtein,4.38
hybC,Periplasmic,1.11
hybO,Membrane-anchored,0.85
hypB,Cytoplasmic,1.11
hypF,Cytoplasmic,1.39
iaaA,Cytoplasmic,0.75
iadA,Cytoplasmic,0.84
iap,Periplasmic,0.81
ibpA,Cytoplasmic,1.31
icd,Cytoplasmic,0.84
iclR,Cytoplasmic,0.64
ihfA,Cytoplasmic,0.47
ihfB,Cytoplasmic,0.53
ileS,Cytoplasmic,0.95
ilvA,Cytoplasmic,1.02
ilvB,Cytoplasmic,0.78
ilvC,Cytoplasmic,0.59
ilvD,Cytoplasmic,0.98
ilvE,Cytoplasmic,0.73
ilvH,Cytoplasmic,0.57
ilvI,Cytoplasmic,1.08
ilvL,Cytoplasmic,0.56
ilvN,Cytoplasmic,0.48
imp,OutermembraneProtein,0.98
inaA,Cytoplasmic,0.58
infA,Cytoplasmic,0.52
infB,Cytoplasmic,0.62
infC,Cytoplasmic,0.52
insG,IntegralMembraneProtein,1.67
intA,Cytoplasmic,0.86
intD,Cytoplasmic,1.66
intS,Cytoplasmic,0.61
intZ,-,0.65
ipk,-,1.76
iscA,Cytoplasmic,0.64
iscR,Cytoplasmic,0.61
iscS,Cytoplasmic,0.60
iscU,Cytoplasmic,0.54
iscX,Cytoplasmic,0.48
ispA,Cytoplasmic,0.83
ispB,Cytoplasmic,0.99
ispD,Cytoplasmic,0.66
ispF,Cytoplasmic,0.55
ispG,Cytoplasmic,0.71
ispH,Cytoplasmic,0.67
ispU,Cytoplasmic,0.71
ivbL,Cytoplasmic,0.56
ivy,Periplasmic,0.63
katE,Cytoplasmic,0.93
katG,Cytoplasmic,0.96
kbl,Cytoplasmic,0.78
kch,IntegralMembraneProtein,2.39
kdgK,Cytoplasmic,0.96
kdgR,Cytoplasmic,0.59
kdpB,IntegralMembraneProtein,1.84
kdpD,IntegralMembraneProtein,1.39
kdsA,Cytoplasmic,0.66
kdsB,Cytoplasmic,0.65
kdsC,Cytoplasmic,0.60
kdsD,Cytoplasmic,0.69
kduD,Cytoplasmic,1.03
kefA,IntegralMembraneProtein,3.23
kefB,IntegralMembraneProtein,2.04
kefC,IntegralMembraneProtein,2.53
kefF,Cytoplasmic,1.33
kgtP,IntegralMembraneProtein,5.54
ksgA,Cytoplasmic,0.60
ldcA,Cytoplasmic,1.37
ldcC,Cytoplasmic,1.64
ldhA,Cytoplasmic,0.76
lepA,Cytoplasmic,1.11
lepB,IntegralMembraneProtein,1.48
leuA,Cytoplasmic,0.93
leuB,Cytoplasmic,1.18
leuC,Cytoplasmic,0.73
leuD,Cytoplasmic,0.60
leuE,IntegralMembraneProtein,5.14
leuL,Cytoplasmic,0.51
leuS,Cytoplasmic,0.92
lexA,Cytoplasmic,0.64
lgt,IntegralMembraneProtein,5.71
ligA,Cytoplasmic,0.71
lipA,Cytoplasmic,0.75
lipB,Cytoplasmic,0.79
livF,Cytoplasmic,0.89
livG,Cytoplasmic,0.90
livH,IntegralMembraneProtein,1.88
livJ,Periplasmic,0.59
livK,Periplasmic,0.65
livM,IntegralMembraneProtein,4.83
lldD,Membraneassociated,1.06
lldP,IntegralMembraneProtein,7.49
lnt,IntegralMembraneProtein,2.44
lolA,Periplasmic,0.71
lolB,OutermembraneLipoprotein,0.61
lolC,IntegralMembraneProtein,2.55
lolD,Lipoprotein,0.71
lolE,IntegralMembraneProtein,1.34
lon,Cytoplasmic,0.77
lpd,Cytoplasmic,0.66
lplA,Cytoplasmic,0.88
lplT,IntegralMembraneProtein,3.88
lpp,OutermembraneLipoprotein,0.52
lptA,Periplasmic,0.68
lptB,Cytoplasmic,0.65
lpxA,Cytoplasmic,0.60
lpxB,Cytoplasmic,0.69
lpxC,Cytoplasmic,0.73
lpxD,Cytoplasmic,0.63
lpxH,Cytoplasmic,0.91
lpxK,IntegralMembraneProtein,1.53
lpxL,IntegralMembraneProtein,1.27
lpxM,IntegralMembraneProtein,0.63
lpxP,Membrane-anchored,2.71
lrhA,Cytoplasmic,0.68
lrp,Cytoplasmic,0.57
lspA,IntegralMembraneProtein,3.43
lsrR,Cytoplasmic,1.02
ltaE,Cytoplasmic,0.65
luxS,Cytoplasmic,0.65
lysA,Cytoplasmic,0.81
lysC,Cytoplasmic,0.92
lysP,IntegralMembraneProtein,4.35
lysS,Cytoplasmic,0.64
lysU,Cytoplasmic,0.66
maa,Cytoplasmic,0.52
macA,IntegralMembraneProtein,1.84
